audio_filepath,whisper_transcript,azure_transcript
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/88e1c214827f4fc4eb5da821-13-DialPromptResp3.wav, She gives it a 1 of 10 when often it deserves more.,she gives it a one of ten when often it deserves more
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/Oishani-13-DialPromptResp3.wav, She gives it a one of 10 when often it deserves more.,she gives it a one of ten when often it deserves more
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/88e1c214827f4fc4eb5da821-15-ExpPromptResp5.wav, You haven't even been to the end and out in the Outback Steakhouse neighborhood.,you haven't even been to the in and out in the outback steakhouse neighborhood
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/Oishani-51-DialPromptResp11.wav," Bro, share with all my work. I've made it to the brochure.",bro sure with all my work i've made it to the brochure
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/fa55ab21ba76f0e1d8bf041b-15-ExpPromptResp5.wav, You haven't even been to the inn and out in the outback stack or sniper herd.,you haven't even been to the in and out in the outback steakhouse neighborhood
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/88e1c214827f4fc4eb5da821-51-DialPromptResp11.wav, brochure with all my work I've made it to the brochure.,brochure with all my work i've made it to the brochure
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/fa55ab21ba76f0e1d8bf041b-53-ExpPromptResp1.wav, Turn on the living room bedroom and kitchen lights.,turn on the living room bedroom and kitchen lights
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/88e1c214827f4fc4eb5da821-47-DialPromptResp10.wav, Take it all right where it belongs you decide.,take it all right where it belongs you decide
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/Oishani-47-DialPromptResp10.wav, Take it alright where it belongs you decide.,take it all right where it belongs you decide
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/88e1c214827f4fc4eb5da821-53-ExpPromptResp1.wav, Turn on the living room bedroom and kitchen lights.,turn on the living room bedroom and kitchen lights
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/fa55ab21ba76f0e1d8bf041b-25-HardPromptResp4.wav, She came back from the sweltering heat of the desert.,she came back from the sweltering heat of the desert
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/Oishani-25-HardPromptResp4.wav, She came back from the sweltering heat of the dessert.,she came back from the sweltering heat of the desert
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/88e1c214827f4fc4eb5da821-25-HardPromptResp4.wav, She came back from the sweltering heat of the dessert.,she came back from the sweltering heat of the desert
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/88e1c214827f4fc4eb5da821-17-LocPromptResp31.wav, She is leaving for Bangler tomorrow.,she is leaving for bangalore tomorrow
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/Oishani-17-LocPromptResp31.wav, She is leaving for Bangalore tomorrow.,she is leaving for bangalore tomorrow
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/fa55ab21ba76f0e1d8bf041b-17-LocPromptResp31.wav, She is leaving for Bang look tomorrow,she's leaving for bangalore tomorrow
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/fa55ab21ba76f0e1d8bf041b-41-LocPromptResp30.wav, He's leaving for Bangalore tomorrow,he is leaving for bengaluru tomorrow
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/Oishani-41-LocPromptResp30.wav, He is leaving for Bangalore tomorrow.,he is leaving for bengaluru tomorrow
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/fa55ab21ba76f0e1d8bf041b-47-DialPromptResp10.wav, take it all right where it belongs you decide.,take it all right where it belongs you decide
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/88e1c214827f4fc4eb5da821-41-LocPromptResp30.wav, He is leaving for Bengaluru tomorrow.,he is leaving for bengaluru tomorrow
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/Oishani-15-ExpPromptResp5.wav, You'll haven't even been to the inn and out in the Outback Steakhouse neighborhood.,you haven't even been to the in and out in the outback steakhouse neighborhood
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/fa55ab21ba76f0e1d8bf041b-51-DialPromptResp11.wav, I'm going to show you all my work I've made to the brush.,share with all my work i've made it to the brochure
/Users/oishanibandopadhyay/Documents/UCSD/LIGN 168/Final_Project_Files/Oishani-53-ExpPromptResp1.wav," Turn on the living room, bedroom and kitchen lights.",turn on the living room bedroom and kitchen lights
